section,in_resume,title,loc,institution,start,end,description_1,description_2,description_3
education,TRUE,Master of Science in Program Evaluation and Data Analytics,Watts School of Public Service and Community Solutions at Arizona State University,"Phoenix, AZ",20-Aug,21-Aug,NA,NA,NA
education,TRUE,Bachelor of Science in Business Data Analytics,"W.P. Carey School of Business at Arizona State University Barrett, the Honors College","Tempe, AZ",16-Aug,20-May,Concurrent degrees,Minor in Dance,Certificate in International Studies
education,TRUE,Bachelor of Science in Sociology,"College of Liberal Arts and Sciences at Arizona State University Barrett, the Honors College","Tempe, AZ",16-Aug,20-May,NA,NA,NA
industry_positions,TRUE,Studio Assistant Manager and Yoga Instructor,CorePower Yoga,"Scottsdale, AZ",18-Sep,20-Aug,"Manage a Studio Experience Team by hiring employees, organizing schedules, and openly communicating via both in-person and online approaches to create a clean, functional, and community-filled studio space.",Assist the Studio Manager in leadership responsibilities by providing feedback to CorePower Yoga Instructors in order to develop a continuously growing and improving experience for our students and customers.,"Lead 200-Hour RYT and Yoga Sculpt Teacher Trainings by marketing to students and subsequently instructing them over a multiple-month commitment in order to produce certified yoga instructors with a deeper understanding of yoga, of their own practice, and of how to positively impact their communities."
industry_positions,TRUE,Data Intern,Arizona Commission on the Arts,"Phoenix, AZ",19-Jan,19-May,Conducted a semester-long internship working under the Programs and Grant Coordinator in order to learn how the non-profit arts sector functions by working in-office and utilizing the SMU DataArts platform.,Provided the Commission with a final report and presentation by combining data visualization and research into the Dance field in order to determine the span of the Commission in the state of Arizona.,NA
industry_positions,TRUE,Front Desk Operations,LA Fitness,"Gilbert, AZ",17-May,17-Aug,"Maintained strong customer service and showed multi-tasking skills while executing check-ins, phone calls, and other operational needs in order to create a cohesive flow.",NA,NA
academic_articles,TRUE,Honors Thesis: Attitudes and Experiences with Period Poverty at Arizona State University,"Barrett, the Honors College",NA,18-Jan,20-May,"In recent years, feminist activists have taken their fascination and concern over access to period products in developing countries and diverted their attention to period poverty that exists in the United States. Backed by globalist approaches and the deep history of Menstrual Activism in the US, the Menstrual Equity Movement aims to make policy changes at the state and federal levels to ensure that all menstruators have the products they need to manage menstruation. This exploratory study aims to understand the experiences and attitudes about period poverty at Arizona State University's campus. Undergraduate menstruators were asked to reflect on general and on campus experiences with access to period products. Quantitative and qualitative analyses were utilized in conducting this research. This study concludes that menstruators' education would benefit from having access to free period products in all bathrooms. Keywords: menstrual equity, period poverty, menstrual activism, period products",NA,NA
data_science_writings,TRUE,Report: Neighborhood Change,Arizona State University,NA,NA,21-May,"This group project incorporated project management methods by utilizing Kanban Boards, GitHub, and RStudio to synthesize the semester’s work into a fully-functioning GitHub Pages website. My groupmates and I created new variables, cleaned data, and joined tables in order to create an analysis on Neighborhood Change and an evaluation of Tax Credits. I specifically contributed the most to Chapter 3: Part II - Evaluation of Tax Credits.",NA,NA
data_science_writings,TRUE,Code-Through: Sentiment Analysis,Arizona State University,NA,NA,21-Feb,"This code-through will cover various text and sentiment analysis options in both the quanteda and tidytext packages. We will use the 2014 State of the Union Address that President Barack Obama delivered in order to analyze the words used most frequently, as well as the sentiments those words elicited.",NA,NA
data_science_writings,TRUE,Code-Through: Connection Map,Arizona State University,NA,NA,20-Dec,"This code-through will walk through how to create a basic Connection Map, while also providing more advanced options to make your map unique. While there are many methods to uploading maps in R, the “Maps” and “Leaflet” packages are two of the most accessible for completing the task.",NA,NA
data_science_writings,TRUE,Code-Through: Lollipop Plots,Arizona State University,NA,NA,20-Oct,This code-through explores how to create various lollipop plots using the ggplot2 package in R.,NA,NA
data_science_writings,TRUE,Dashboard: City of Tempe,Arizona State University,NA,NA,20-Oct,"This dashboard explores connections between Day and Time of the crash and Age and Substance Abuse presence, while also allowing to analyze characteristics and draw comparisons of the drivers involved in the crash.",NA,NA
data_science_writings,TRUE,Dashboard: Denver MSA,Arizona State University,NA,NA,20-Dec,This dashboard can be used to detect neighborhood change at the census tract level for the Denver metroplitan statistical area (MSA).,NA,NA
about_me_press,TRUE,Text Team Lead,Sierra Club,Remote,20-Sep,20-Nov,"Helped facilitate a successful nation-wide effort to reach eligible voters in the United States for the 2020 election cycle by communicating with other volunteers, answering questions and ensuring they were set up to help encourage people to vote.",Hand-wrote and mailed 550 letters to eligible voters in Arizona and Georgia to encourage them to vote in favor of protecting our environment and for social justice.,NA
about_me_press,TRUE,Member,W.P. Carey Leaders Academy,"Tempe, AZ",16-Aug,20-May,NA,NA,NA
about_me_press,TRUE,President,Dance Undergraduate Organization Support,"Tempe, AZ",18-May,19-Aug,Lead a group of motivated Undergraduate students in order to conceptualize and fulfill various ideas to benefit the students in the ASU Dance BFA Program by providing a strong presence and fluid understanding of social media.,Achieve and surpass goals for fundraising in order to fund DUOS' semi-annual Student Development Grant.,Productively communicate with ASU Dance Professors/Faculty in order to advocate for Dance Undergraduates and generate progressive change in the program.
about_me_press,TRUE,Member,Chandler Service Club,"Chandler, AZ",15-Apr,16-May,Conducted a service project by organizing and overseeing a Feminine Hygiene Drive in order to donate period products and other hygiene items to the Tumbleweed Center for Youth Development.,Volunteered at multiple institutions and organizations around the city of Chandler in order to create a fulfilled and opportunistic experience for the surrounding community.,NA
